buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
13950.0,279.0,100.0,0.0,30.568213446575715,27900,13950.0,1215.7733862400055
14000.0,280.0,100.0,0.0,28.9920444241501,28000,14000.0,1219.2226088047028
14050.0,281.0,100.0,0.0,4.805953744065625,28100,14050.0,1240.0301337242126
14100.0,282.0,100.0,7.0,30.04305070582801,28200,14100.0,1243.3586912155151
14150.0,283.0,100.0,14.0,30.049436839572856,28300,14150.0,1246.6865410804749
14200.0,284.0,100.0,19.0,28.63761081590246,28400,14200.0,1250.178453207016
14250.0,285.0,100.0,16.0,28.893248356324786,28500,14250.0,1253.6394701004028
14300.0,286.0,100.0,14.0,29.792770570171985,28600,14300.0,1256.995989561081
14350.0,287.0,100.0,15.0,28.22348147276867,28700,14350.0,1260.539139032364
14400.0,288.0,100.0,15.0,30.629769306054513,28800,14400.0,1263.8039374351501
14450.0,289.0,100.0,14.0,28.582131247893038,28900,14450.0,1267.3026270866394
14500.0,290.0,100.0,0.0,27.82678662853289,29000,14500.0,1270.896287202835
14550.0,291.0,100.0,8.0,29.41913484132529,29100,14550.0,1274.2954361438751
14600.0,292.0,100.0,4.0,28.65233006348825,29200,14600.0,1277.78555393219
14650.0,293.0,100.0,18.0,31.56299156040891,29300,14650.0,1280.9538221359253
14700.0,294.0,100.0,18.0,27.801445517358406,29400,14700.0,1284.5507578849792
14750.0,295.0,100.0,18.0,28.80048362628526,29500,14750.0,1288.0229225158691
14800.0,296.0,100.0,3.0,31.838768140007552,29600,14800.0,1291.1637480258942
14850.0,297.0,100.0,12.0,26.60553292811362,29700,14850.0,1294.9223651885986
14900.0,298.0,100.0,18.0,26.59342950233947,29800,14900.0,1298.6826927661896
14950.0,299.0,100.0,19.0,31.280989726200055,29900,14950.0,1301.8795232772827
15000.0,300.0,100.0,17.0,27.652415475053054,30000,15000.0,1305.4958443641663
15050.0,301.0,100.0,14.0,4.8947308283969555,30100,15050.0,1325.9259779453278
15100.0,302.0,100.0,17.0,28.462725862402536,30200,15100.0,1329.4393453598022
15150.0,303.0,100.0,7.0,30.274843024695233,30300,15150.0,1332.7424187660217
15200.0,304.0,100.0,13.0,28.13117944869165,30400,15200.0,1336.2971937656403
15250.0,305.0,100.0,13.0,31.85544599784395,30500,15250.0,1339.4363751411438
15300.0,306.0,100.0,18.0,28.72104145876977,30600,15300.0,1342.9181430339813
15350.0,307.0,100.0,19.0,27.18065002407782,30700,15350.0,1346.597231388092
15400.0,308.0,100.0,13.0,30.9277345557432,30800,15400.0,1349.8305759429932
15450.0,309.0,100.0,19.0,27.471256335074735,30900,15450.0,1353.47074508667
15500.0,310.0,100.0,18.0,28.111065915939797,31000,15500.0,1357.0280635356903
15550.0,311.0,100.0,14.0,26.998776903724796,31100,15550.0,1360.7319355010986
15600.0,312.0,100.0,19.0,28.735696993966556,31200,15600.0,1364.2119281291962
15650.0,313.0,100.0,23.0,27.33238508865145,31300,15650.0,1367.8705923557281
15700.0,314.0,100.0,17.0,32.71670889083497,31400,15700.0,1370.9271349906921
15750.0,315.0,100.0,15.0,29.292258423078895,31500,15750.0,1374.3410067558289
15800.0,316.0,100.0,20.0,28.042540539561152,31600,15800.0,1377.9070179462433
15850.0,317.0,100.0,18.0,31.864109801507215,31700,15850.0,1381.0453457832336
15900.0,318.0,100.0,19.0,29.237869847233792,31800,15900.0,1384.4655680656433
15950.0,319.0,100.0,18.0,28.305943884867812,31900,15950.0,1387.998395204544
16000.0,320.0,100.0,0.0,30.28756223159106,32000,16000.0,1391.3000814914703
16050.0,321.0,100.0,20.0,4.844547217992855,32100,16050.0,1411.9418461322784
16100.0,322.0,100.0,15.0,29.278280566675857,32200,16100.0,1415.3573474884033
